Afaraf;aa
Afrikaans;af
Akan;ak
Shqip;sq
አማርኛ;am
العربية;ar
aragonés;an
Հայերեն;hy
অসমীয়া ;as
магӀарул мацӀ;av
avesta;ae
aymar aru;ay
azərbaycan dili;az
bamanankan;bm
башҡорт теле;ba
euskera;eu
беларуская мова;be
বাংলা ;bn
भोजपुरी ;bh
Bislama;bi
bosanski jezik;bs
brezhoneg;br
български език;bg
ဗမာစာ;my
català;ca
Chamoru;ch
нохчийн мотт;ce
chiCheŵa;ny
中文;zh
чӑваш чӗлхи;cv
Kernewek;kw
corsu;co
ᓀᐦᐃᔭᐍᐏᐣ;cr
hrvatski jezik;hr
čeština;cs
dansk;da
ދިވެހި;dv
Nederlands;nl
རྫོང་ཁ ;dz
English;en
Esperanto;eo
eesti;et
Eʋegbe;ee
føroyskt;fo
vosa Vakaviti;fj
suomi;fi
français;fr
Fulfulde;ff
galego;gl
ქართული;ka
Deutsch;de
ελληνικά;el
Avañe'ẽ;gn
ગુજરાતી ;gu
Kreyòl ayisyen;ht
(Hausa) هَوُسَ;ha
עברית;he
Otjiherero;hz
हिन्दी ;hi
Hiri Motu;ho
magyar;hu
Interlingua;ia
Bahasa Indonesia;id
Gaeilge;ga
Asụsụ Igbo;ig
Iñupiaq;ik
Ido;io
Íslenska;is
italiano;it
ᐃᓄᒃᑎᑐᑦ;iu
日本語 (にほんご);ja
basa Jawa;jv
kalaallisut;kl
ಕನ್ನಡ ;kn
Kanuri;kr
कश्मीरी ;ks
қазақ тілі;kk
ខ្មែរ ;km
Gĩkũyũ;ki
Ikinyarwanda;rw
Кыргызча;ky
коми кыв;kv
Kikongo;kg
한국어;ko
Kurdî;ku
Kuanyama;kj
latine;la
ladin;li	
Lëtzebuergesch;lb
Luganda;lg
Limburgs;li
Lingála;ln
ພາສາລາວ;lo
lietuvių kalba;lt
Tshiluba;lu
latviešu valoda;lv
Gaelg;gv
македонски јазик;mk
fiteny malagasy;mg
بهاس ملايو‎;ms
മലയാളം ;ml
Malti;mt
te reo Māori;mi
मराठी ;mr
Kajin M̧ajeļ;mh
монгол;mn
Ekakairũ Naoero;na
Diné bizaad;nv
isiNdebele;nd
नेपाली ;ne
Owambo;ng
Norsk bokmål;nb
Norsk nynorsk;nn
Norsk;no
ꆈꌠ꒿ Nuosuhxop;ii
isiNdebele;nr
occitan;oc
ᐊᓂᔑᓈᐯᒧᐎᓐ;oj
ѩзыкъ словѣньскъ;cu
Afaan Oromoo;om
ଓଡ଼ିଆ ;or
ирон æвзаг;os
ਪੰਜਾਬੀ ;pa
पाऴि ;pi
فارسی;fa
język polski;pl
پښتو;ps
português;pt
Runa Simi;qu
rumantsch grischun;rm
Ikirundi;rn
limba română;ro
Русский;ru
संस्कृतम् ;sa
sardu;sc
सिन्धी ;sd
Davvisámegiella;se
gagana fa'a Samoa;sm
yângâ tî sängö;sg
српски језик;sr
Gàidhlig;gd
chiShona;sn
සිංහල ;si
slovenčina;sk
slovenski jezik;sl
Soomaaliga;so
Sesotho;st
español;es
Basa Sunda;su
Kiswahili;sw
SiSwati;ss
svenska;sv
தமிழ் ;ta
తెలుగు ;te
тоҷикӣ;tg
ไทย ;th
ትግርኛ;ti
བོད་ཡིག ;bo
Türkmen;tk
Wikang Tagalog;tl
Setswana;tn
faka Tonga;to
Türkçe;tr
Xitsonga;ts
татар теле;tt
Twi;tw
Reo Tahiti;ty
ئۇيغۇرچە‎ Uyghurche;ug
українська мова;uk
اردو;ur
Oʻzbek;uz
Tshivenḓa;ve
Việt Nam;vi
Volapük;vo
walon;wa
Cymraeg;cy
Wollof;wo
Frysk;fy
isiXhosa;xh
ייִדיש;yi
Yorùbá;yo
Saɯ cueŋƅ;za
isiZulu;zu
